,Actor,Average Actor Rating,ActorReviewCount,MovieCount
2010,Gil_Bellows,4.417623587463068,32831.0,25
2008,William_Sadler,4.25172695062578,39231.0,31
2948,Norbert_Weisser,4.247625395767372,24004.0,13
525,Giancarlo_Esposito,4.198978819969741,26440.0,28
2011,Mark_Rolston,4.198154003059663,49025.0,13
1860,Phil_LaMarr,4.195097327822823,31697.0,18
9952,Martina_Gedeck,4.190469688694702,3662.0,11
6149,Tim_DeZarn,4.1689466222171125,26097.0,11
1864,Bronagh_Gallagher,4.168561564332272,33599.0,12
1399,Jude_Ciccolella,4.14537737878699,51129.0,16
2013,Jeffrey_DeMunn,4.1375349990191355,56073.0,20
2009,Clancy_Brown,4.130713444349493,43297.0,30
3011,Anthony_Michael_Hall,4.126297016861219,18504.0,13
6089,Scott_Bakula,4.105595084087969,21644.0,14
7695,Yolande_Moreau,4.095501501941534,13649.0,18
7697,Maurice_Bénichou,4.095501501941534,13649.0,12
5521,Ulrich_Thomsen,4.095238095238095,1008.0,26
5524,Paprika_Steen,4.095238095238095,1008.0,16
5533,Lars_Brygmann,4.095238095238095,1008.0,12
10230,Jim_Piddock,4.094484776248781,9229.0,14
1848,Peter_Appel,4.08621713946235,13466.0,11
518,Stephen_Baldwin,4.080338686595642,25156.0,22
7732,Billy_Boyd,4.080118482283246,62963.0,13
1865,Rosanna_Arquette,4.075767410412441,36975.0,23
5722,Carrie-Anne_Moss,4.051717960322849,53028.0,15
3581,Joe_Stevens,4.051277089783282,2584.0,11
8529,Cillian_Murphy,4.042578844437694,52667.0,20
6196,John_DiMaggio,4.036030158039728,6897.0,24
6198,Tara_Strong,4.036030158039728,6897.0,24
8291,Emilia_Fox,4.035386965376782,7856.0,13
1863,Paul_Calderon,4.035077116472466,41366.0,20
4318,Beverly_D'Angelo,4.034487862640615,13512.0,15
8845,Marion_Cotillard,4.031424025457438,30168.0,23
495,John_Cassini,4.026125457833001,21569.0,14
3436,Akio_Ôtsuka,4.024591826386776,9861.0,12
10592,Barry_Corbin,4.02412250982518,7379.0,17
1858,Amanda_Plummer,4.023918432013901,39133.0,19
3173,Edward_Furlong,4.01753843559403,35579.0,23
10832,Jeff_Garlin,4.016822945394374,10878.0,15
6143,Richmond_Arquette,4.016498890974235,29305.0,12
5696,Dexter_Fletcher,4.00935001289657,7754.0,13
10187,Sergi_López,4.0060293932923,7961.0,18
2213,Peter_Dobson,4.002906223923114,34753.0,13
8238,Tom_Hardy,3.9998610628690514,28790.0,21
7034,Jack_O'Connell,3.995872378402499,8964.0,17
852,Sean_McGinley,3.9941193828513617,23722.0,13
7612,Maggie_Gyllenhaal,3.9923562037219518,35519.0,22
8201,Leonor_Watling,3.991172761664565,1586.0,12
776,Benoît_Magimel,3.9911297852474323,1071.0,18
9530,Justus_von_Dohnányi,3.9900856241550247,2219.0,12
9526,André_Hennicke,3.9900856241550247,2219.0,12
9519,Bruno_Ganz,3.9900856241550247,2219.0,15
